STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro #,Basin #,Owner,Maintenance,Operator,Map #,Collect #,County Name,Basin Name,Agency Name,Hydro Area,Sensor1,sensor2,sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,,,
RHL,RICHMOND CITY HALL,55,37.9369,-122.3427,RICHMOND,2,2801,999,999,107,22,0,CONTRA COSTA,SF BAY,Contra Costa County,SAN FRANCISCO BAY,2,16,45,,,,,,,,,,,,,,,,,,,,,
RHW,RODEO CREEK AT HAWTHORNE DRIVE,11,38.02462,-122.26303,RODEO,2,2001,999,999,107,15,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
RIP,STANISLAUS RIVER AT RIPON,73,37.7296524,-121.1104965,RIPON,6,8501,999,999,58,23,0,SAN JOAQUIN,STANISLAUS R,US Geological Survey,SAN JOAQUIN RIVER,1,14,20,25,41,100,,,,,,,,,,,,,,,,,,
RIV,RIO VISTA,0,38.159203,-121.684543,RIO VISTA,5,8101,999,999,50,16,0,SOLANO,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,2,5,14,25,100,,,,,,,,,,,,,,,,,,,
RKY,ROCKY RIDGE,2020,37.817,-122.062,DANVILLE,2,2001,999,999,107,22,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
RMB,TICE CREEK AT ROSSMOOR BASIN,241,37.87607811,-122.0724497,WALNUT CREEK,2,2001,999,999,107,21,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
ROF,RODEO FIRE DEPARTMENT,30,38.035,-122.27,RODEO,2,2001,999,999,107,16,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
ROR,ROARING RIVER,10,38.0931,-121.8875,MONTEZUMA,5,8101,999,999,705,0,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,5,6,14,25,100,,,,,,,,,,,,,,,,,,
RPN,RIPON,35,37.729859,-121.110135,RIPON,6,8501,999,999,50,22,0,SAN JOAQUIN,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,14,25,61,100,,,,,,,,,,,,,,,,,,,,
RRF,RAILROAD FLAT,2720,38.314,-120.543,RAILROAD FLAT,6,8401,999,999,56,18,0,CALAVERAS,CALAVERAS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,2,45,,,,,,,,,,,,,,,,,,,,,,
RRG,RODDY RANCH GOLF CLUB,403,37.9236,-121.7858,ANTIOCH,2,2001,999,999,107,22,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,2,16,45,,,,,,,,,,,,,,,,,,,,,
RRI,ROUGH AND READY ISLAND,15,37.963,-121.365,STOCKTON,6,9001,999,999,705,23,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/Div of Environmental Services,SAN JOAQUIN RIVER,1,4,5,9,10,14,20,21,25,26,27,28,30,31,32,61,62,100,141,,,,,
RSL,ROCK SLOUGH ABV CONTRA COSTA CANAL,10,37.97631073,-121.6375961,BRENTWOOD,6,8101,999,999,704,999,0,CONTRA COSTA,DELTA,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,25,100,141,,,,,,,,,,,,,,,,,,,
RSP,ROSE PEAK,3060,37.502,-121.736,MILPITAS,2,2001,999,999,301,23,2,ALAMEDA,EAST BAY,East Bay Regional Parks Fire-Rescue Services,SAN FRANCISCO BAY,2,4,9,10,11,12,13,14,26,30,31,32,77,78,,,,,,,,,,
RSS,ROSSMOOR,146,37.8706,-122.0644,WALNUT CREEK,2,2001,999,999,107,22,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
RVB,SACRAMENTO RIVER AT RIO VISTA BRIDGE,0,38.159737,-121.686355,RIO VISTA,5,6501,700,999,705,17,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,4,5,9,10,14,25,26,27,28,61,62,100,141,146,169,,,,,,,,
RVS,RIO VISTA,0,38.159737,-121.686355,RIO VISTA,5,8101,999,999,1,17,0,SOLANO,DELTA,CA Dept of Water Resources,SACRAMENTO RIVER,1,5,9,14,26,,,,,,,,,,,,,,,,,,,
RYC,SUISUN BAY ? CUTOFF NEAR RYER,0,38.083971,-121.995878,FAIRFIELD,2,8101,999,999,705,16,21,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SAN FRANCISCO BAY,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,,
RYE,SACRAMENTO SHIP CHANNEL AT RYER ISLAND,15,38.2283,-121.6722,RIO VISTA,5,6501,999,999,56,17,0,SOLANO,SACRAMENTO R,US Army Corps of Engineers,SACRAMENTO RIVER,14,177,,,,,,,,,,,,,,,,,,,,,,
RYF,CACHE SLOUGH ABOVE RYER ISLAND FERRY,2,38.193854,-121.658005,RIO VISTA,5,7901,999,999,58,16,22,SOLANO,CACHE CR,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,61,100,221,,,,,,,,,,,,,,,,,
RYI,CACHE SLOUGH AT RYER ISLAND,0,38.2128,-121.6692,RIO FARMS,5,6501,999,999,58,17,0,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,61,100,221,,,,,,,,,,,,,,,,,
SAE,SACRAMENTO EXECUTIVE AIRPORT,21,38.506943,-121.495003,SACRAMENTO,5,6501,999,999,40,17,13,SACRAMENTO,SACRAMENTO R,National Weather Service,SACRAMENTO RIVER,2,45,,,,,,,,,,,,,,,,,,,,,,
SAL,SAN ANDREAS LANDING,0,38.103301,-121.591315,RIO VISTA,5,8101,999,999,50,16,0,SAN JOAQUIN,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
SAT,SAN ANTONIO RESERVOIR,468,37.573,-121.848,BRADLEY,2,2101,999,999,180,23,0,ALAMEDA,ALAMEDA CR,San Francisco County,SAN FRANCISCO BAY,6,7,15,,,,,,,,,,,,,,,,,,,,,
SDC,SACRAMENTO R ABOVE DELTA CROSS CHANNEL,10,38.257,-121.518,WALNUT GROVE,5,6501,999,999,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,,,,,,,,,,,,,,,,,,,,,
SDI,SACRAMENTO RIVER AT DECKER ISLAND,0,38.0934,-121.736,RIO VISTA,5,6501,999,999,58,17,0,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
SDK,SODA CK NR NAPA,200,38.37615,-122.2827,NAPA,2,1910,999,999,128,15,2,NAPA,SODA CREEK,Napa County,SAN FRANCISCO BAY,1,14,16,,,,,,,,,,,,,,,,,,,,,
SDO,STOCKTON DEEP WATER SHIP CHANNEL DO,15,37.963,-121.365,STOCKTON,6,9001,999,999,705,23,21,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/Div of Environmental Services,SAN JOAQUIN RIVER,61,201,202,,,,,,,,,,,,,,,,,,,,,
SDR,SAN ANDREAS,54,38.2,-120.68,SAN ANDREAS,6,8401,999,999,40,18,0,CALAVERAS,CALAVERAS R,National Weather Service,SAN JOAQUIN RIVER,2,45,,,,,,,,,,,,,,,,,,,,,,
SET,STOCKTON EAST TUNNEL,252,37.852,-120.637,OAKDALE,6,8501,999,999,58,24,0,CALAVERAS,STANISLAUS R,US Geological Survey,SAN JOAQUIN RIVER,23,66,,,,,,,,,,,,,,,,,,,,,,
SFF,SAN FRANCISCO WB AP,8,37.617,-122.383,,2,2801,999,999,40,22,0,SAN MATEO,SF BAY,National Weather Service,SAN FRANCISCO BAY,2,,,,,,,,,,,,,,,,,,,,,,,
SFN,SAN FRANCISCO,150,37.770557,-122.426941,SAN FRANCISCO,2,2801,999,999,40,22,13,SAN FRANCISCO,SF BAY,National Weather Service,SAN FRANCISCO BAY,2,45,,,,,,,,,,,,,,,,,,,,,,
SFS,STOCKTON FIRE STATION,14,37.999,-121.319,STOCKTON,6,9001,999,999,1,23,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources,SAN JOAQUIN RIVER,2,14,16,45,,,,,,,,,,,,,,,,,,,,
SGA,SUGAR CUT,8,37.7928598,-121.4214954,TRACY,6,9001,999,999,704,23,21,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,20,21,25,100,,,,,,,,,,,,,,,,,,,
SGG,SHAG SLOUGH,0,38.3183333,-121.6930556,COURTLAND,5,6501,999,999,58,16,22,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
SGX,SACRAMENTO R AT SNODGRASS,23,38.3497027,-121.533549,COURTLAND,5,6501,999,999,704,0,2,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
SH4,ST. HELENA 4WSW,1729,38.49306107,-122.5397186,ST HELENA,2,1901,702,702,702,999,2,NAPA,NAPA R,CA Dept of Water Resources/DFM-Hydro-SMN,SAN FRANCISCO BAY,2,4,14,16,45,,,,,,,,,,,,,,,,,,,
SHG,SHIRLEY GULCH,225,37.9019,-120.7589,STOCKTON,6,9001,999,999,56,24,0,SAN JOAQUIN,SAN JOAQUIN R,US Army Corps of Engineers,SAN JOAQUIN RIVER,1,2,14,,,,,,,,,,,,,,,,,,,,,
SHR,SHEEP RANCH,2370,38.21,-120.462,SHEEP RANCH,6,8401,999,999,56,18,0,CALAVERAS,CALAVERAS R,US Army Corps of Engineers,SAN JOAQUIN RIVER,2,45,,,,,,,,,,,,,,,,,,,,,,
SJC,SAN JOAQUIN RIVER NEAR BUCKLEY COVE,10,37.980266,-121.385717,STOCKTON,6,9001,999,999,704,22,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,20,21,25,,,,,,,,,,,,,,,,,,,,,
SJD,SAN JOAQUIN RIVER ABOVE DOS REIS,7,37.8223312,-121.3177244,LATHROP,6,9001,999,999,704,23,17,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,20,21,25,100,,,,,,,,,,,,,,,,,,,
SJG,SAN JOAQUIN RIVER AT GARWOOD BRIDGE,13,37.935,-121.329,STOCKTON,6,9001,999,999,58,23,0,SAN JOAQUIN,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,1,20,21,25,28,100,221,,,,,,,,,,,,,,,,,
SJJ,SAN JOAQUIN RIVER AT JERSEY POINT (USGS),10,38.052,-121.689,OAKLEY,6,9001,999,999,58,17,0,CONTRA COSTA,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,1,20,21,25,61,100,221,222,223,224,225,226,227,228,229,230,,,,,,,,
SJL,SAN JOAQUIN R BLW OLD R NEAR LATHROP,10,37.8111496,-121.3240356,LATHROP,6,9001,999,999,704,999,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,14,20,21,25,41,100,141,,,,,,,,,,,,,,,,
SJP,SAN JOAQUIN RIVER NEAR PATTERSON,97,37.494,-121.081,PATTERSON,6,9001,700,999,706,23,2,STANISLAUS,SAN JOAQUIN R,CA Dept of Water Resources/South Central Region Office,SAN JOAQUIN RIVER,1,14,20,25,27,28,41,61,62,100,169,,,,,,,,,,,,,
SJR,SAN JOAQUIN R MCCUNE STATION NR VERNALIS,32,37.67929,-121.26511,SAN JOAQUIN CITY,6,9001,999,999,705,23,21,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/Div of Environmental Services,SAN JOAQUIN RIVER,1,4,9,10,14,20,25,26,27,28,61,62,100,101,109,112,146,148,149,150,151,152,153,179
SJU,SAN JOAQUIN R 4 RIVERS UNIMPAIRED RUNOFF,35,37.67604,-121.2663269,MODESTO,6,9001,999,999,722,0,6,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting,SAN JOAQUIN RIVER,65,200,263,262,261,260,,,,,,,,,,,,,,,,,,
SKF,STANISLAUS R BL GOODWIN NR KNIGHTS FERRY,253,37.854,-120.637,KNIGHTS FERRY,6,8501,999,999,58,24,0,CALAVERAS,STANISLAUS R,US Geological Survey,SAN JOAQUIN RIVER,1,20,,,,,,,,,,,,,,,,,,,,,,
SKT,STOCKTON DEEP WATER CHANNEL,15,37.9517,-121.3214,STOCKTON,6,9001,999,999,56,23,0,SAN JOAQUIN,SAN JOAQUIN R,US Army Corps of Engineers,SAN JOAQUIN RIVER,14,177,,,,,,,,,,,,,,,,,,,,,,
SLE,SAN LEANDRO BAY,10,37.7,-122.217,SAN LEANDRO,2,2801,999,999,160,22,0,ALAMEDA,SF BAY,Alameda County,SAN FRANCISCO BAY,16,45,,,,,,,,,,,,,,,,,,,,,,
SLJ,SOULAJULE DAM,344,38.153,-122.782,NOVATO,2,1701,999,999,89,16,0,MARIN,COAST-MARIN,Marin Municipal Water District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
SMC,ST MARYS COLLEGE,620,37.842,-122.107,MORAGA,2,2001,999,999,107,22,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
SMR,SOUTH MOKELUMNE R AT W WALNUT GROVE RD,0,38.2255,-121.4911,WALNUT GROVE,6,8301,999,999,58,17,0,SAN JOAQUIN,MOKELUMNE R,US Geological Survey,SAN JOAQUIN RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
SMU,SACRAMENTO R REGION UNIMPAIRED RUNOFF,0,38.45,-121.5,FREEPORT,5,6501,999,999,722,0,6,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/DFM-Hydro-Water Supply Fcasting,SACRAMENTO RIVER,65,200,263,262,261,260,,,,,,,,,,,,,,,,,,
SNA,SAN ANDREAS COTTAGE,464,37.579,-122.409,SAN MATEO,2,2650,999,999,74,22,0,SAN MATEO,SAN MATEO CREEK,City of San Francisco,SAN FRANCISCO BAY,14,16,,,,,,,,,,,,,,,,,,,,,,
SNC,SUNRISE CLUB,0,38.185,-122.083,CORDELIA,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,5,14,25,100,,,,,,,,,,,,,,,,,,,
SNN,SAN ANDREAS,456,37.578,-122.412,MILLBRAE,2,2801,999,999,180,22,0,SAN MATEO,SF BAY,San Francisco County,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
SNO,SONOMA COUNTY AIRPORT (SANTA ROSA),114,38.503887,-122.81028,SANTA ROSA,1,1601,999,999,40,16,13,SONOMA,RUSSIAN R,National Weather Service,NORTH COAST,2,45,,,,,,,,,,,,,,,,,,,,,,
SNP,SAN PABLO CREEK AT LA HONDA ROAD,152,37.963426,-122.28722,EL SOBRANTE,2,2001,999,999,86,21,4,CONTRA COSTA,EAST BAY,East Bay Municipal Utility District,SAN FRANCISCO BAY,1,,,,,,,,,,,,,,,,,,,,,,,
SNR,SANGUINETTI RANCH,238,37.993,-120.981,LINDEN,6,9001,999,999,139,24,0,SAN JOAQUIN,SAN JOAQUIN R,San Joaquin County,SAN JOAQUIN RIVER,2,16,45,,,,,,,,,,,,,,,,,,,,,
SNS,STANISLAUS R-GOODWIN,252,37.852,-120.637,KNIGHTS FERRY,6,8501,999,999,58,24,0,CALAVERAS,STANISLAUS R,US Geological Survey,SAN JOAQUIN RIVER,23,65,66,260,261,262,263,264,265,,,,,,,,,,,,,,,
SNV,SAN ANTONIO RESERVOIR NEAR SUNOL,498,37.577227,-121.845818,PLEASANTON,2,2101,999,999,182,23,2,ALAMEDA,ALAMEDA CR,San Francisco PUC,SAN FRANCISCO BAY,14,16,45,,,,,,,,,,,,,,,,,,,,,
SOC,STOCKTON AIRPORT,27,37.889999,-121.226387,STOCKTON,6,8451,999,999,40,23,13,SAN JOAQUIN,LITTLEJOHN CR,National Weather Service,SAN JOAQUIN RIVER,2,45,,,,,,,,,,,,,,,,,,,,,,
SOI,SACRAMENTO R DOWNSTREAM OF ISLETON,5,38.17548,-121.656863,RIO VISTA,5,6501,999,999,704,16,17,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,20,21,25,61,100,221,222,223,224,,,,,,,,,,,,,,
SOK,STANISLAUS RIVER AT OAKDALE,120,37.777,-120.852,OAKDALE,6,8501,999,999,58,24,0,STANISLAUS,STANISLAUS R,US Geological Survey,SAN JOAQUIN RIVER,14,25,,,,,,,,,,,,,,,,,,,,,,
SOL,LAKE SOLANO,150,38.5,-122,WINTERS,5,8001,999,999,221,16,0,SOLANO,PUTAH CR,Solano County Water Agency,SACRAMENTO RIVER,15,,,,,,,,,,,,,,,,,,,,,,,
SPB,SAN PABLO,330,37.9423,-122.2587,SAN PABLO,2,2801,999,999,86,21,0,CONTRA COSTA,SF BAY,East Bay Municipal Utility District,SAN FRANCISCO BAY,15,,,,,,,,,,,,,,,,,,,,,,,
SPE,SAC REGIONAL WASTEWATER TREATMENT PLANT,0,38.441,-121.502,SACRAMENTO,5,6501,999,999,134,17,0,SACRAMENTO,SACRAMENTO R,Sacramento County,SACRAMENTO RIVER,20,,,,,,,,,,,,,,,,,,,,,,,
SR3,THREE MILE SLOUGH AT SAN JOAQUIN R,8,38.090109,-121.686771,RIO VISTA,5,9001,999,999,704,16,2,SACRAMENTO,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,14,100,146,,,,,,,,,,,,,,,,,,,,
SRH,SACRAMENTO RIVER AT HOOD,4,38.36798096,-121.5199585,HOOD,5,6501,999,999,705,999,0,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,4,5,9,10,14,25,26,27,28,61,62,100,101,109,112,179,,,,,,,,
SRJ,STANISLAUS R NEAR JACOB MEYERS PARK,98,37.7469,-120.9713,RIVERBANK,6,8501,999,999,801,24,0,SAN JOAQUIN,STANISLAUS R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
SRN,SAN RAMON CK AT SAN RAMON,530,37.77306,-121.99361,SAN RAMON,2,2001,999,999,58,22,2,CONTRA COSTA,EAST BAY,US Geological Survey,SAN FRANCISCO BAY,1,14,20,165,,,,,,,,,,,,,,,,,,,,
SRO,SANTA ROSA,109,38.445,-122.753,,1,1601,999,999,149,16,0,SONOMA,RUSSIAN R,Sonoma County,NORTH COAST,2,,,,,,,,,,,,,,,,,,,,,,,
SRV,SACRAMENTO RIVER AT RIO VISTA (USGS),0,38.16,-121.686,RIO VISTA,5,6501,999,999,58,17,0,SOLANO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
SSI,SACRAMENTO R NR SHERMAN ISLAND,0,38.074097,-121.761736,RIO VISTA,5,6501,999,999,705,16,21,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,14,25,27,28,61,62,100,,,,,,,,,,,,,,,,,
SSJ,SOUTH SAN JOAQUIN CANAL,334,37.854,-120.637,KNIGHTS FERRY,6,8401,999,999,58,24,0,AMADOR,CALAVERAS R,US Geological Survey,SAN JOAQUIN RIVER,23,69,,,,,,,,,,,,,,,,,,,,,,
SSS,STEAMBOAT SLOUGH BTW SAC R AND SUTTER SL,10,38.285,-121.587,OXFORD,5,6501,999,999,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,61,100,221,,,,,,,,,,,,,,,,,
STA,SANTA ROSA (CDF),560,38.479,-122.712,SANTA ROSA,1,1601,999,999,3,16,0,SONOMA,RUSSIAN R,CA Dept of Forestry and Fire Protection,NORTH COAST,2,4,9,10,11,12,13,14,26,30,31,32,45,77,78,,,,,,,,,
STH,NAPA RIVER NEAR ST HELENA,195,38.51129913,-122.4558105,ST HELENA,2,1901,700,999,58,16,0,NAPA,NAPA R,US Geological Survey,SAN FRANCISCO BAY,1,14,20,41,169,,,,,,,,,,,,,,,,,,,
STI,STATEN ISLAND,0,38.116919,-121.498851,ISLETON,5,8101,999,999,50,16,0,SAN JOAQUIN,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
STK,STOCKTON FIRE STATION 4,12,38.001,-121.317,STOCKTON,6,9301,999,999,40,17,0,SAN JOAQUIN,SAN JOAQUIN FLOOR,National Weather Service,SAN JOAQUIN RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
SUC,SUISUN CREEK AT CORDELIA RD,0,38.2242,-122.1068,FAIRFIELD,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
SUR,SUGAR CUT,35,37.78847,-121.419333,TRACY,6,8101,999,999,704,23,2,SAN JOAQUIN,DELTA,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
SUS,STEAMBOAT SLOUGH BLW SUTTER SLOUGH,15,38.2525,-121.6014,OXFORD,5,6501,999,999,704,16,2,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,14,100,146,,,,,,,,,,,,,,,,,,,,,
SUT,SUTTER SLOUGH AT COURTLAND,0,38.3286,-121.5772,COURTLAND,5,6501,999,999,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,61,100,221,,,,,,,,,,,,,,,,,
SVA,SPRING VALLEY,1075,37.5625,-122.436,MILLBRAE,2,2650,999,999,182,22,2,SAN MATEO,SAN MATEO CREEK,San Francisco PUC,SAN FRANCISCO BAY,2,4,9,10,11,12,13,14,26,30,31,32,77,78,,,,,,,,,,
SWE,SACRAMENTO R AT WALNUT GROVE EC,25,38.241851,-121.514771,WALNUT GROVE,5,6501,999,999,704,16,2,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,14,100,146,,,,,,,,,,,,,,,,,,,,,
SXS,STEAMBOAT SLOUGH NR SACRAMENTO R,5,38.191267,-121.637881,RIO VISTA,5,6501,999,999,704,16,17,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,1,20,21,25,61,100,221,222,223,224,225,226,227,228,229,230,,,,,,,,
SYP,SWEENEY CREEK,121,38.445549,-121.95388,VACAVILLE,5,8011,999,999,221,16,34,SOLANO,ULATIS CR,Solano County Water Agency,SACRAMENTO RIVER,45,,,,,,,,,,,,,,,,,,,,,,,
TAF,TRAVIS AFB,59,38.2667,-121.9333,FAIRFIELD,2,8101,999,999,40,17,0,SOLANO,DELTA,National Weather Service,SAN FRANCISCO BAY,4,9,10,17,30,31,32,,,,,,,,,,,,,,,,,
TAS,TASSAJARA,30,37.787441,-121.874947,TASSAJARA,2,2001,999,999,107,23,23,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
TBS,TUOLUMNE RIVER NEAR BASSO BRIDGE,140,37.65067,-120.49465,LA GRANGE,6,8601,999,999,801,24,0,STANISLAUS,TUOLUMNE R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
TCB,TUOLUMNE RIVER NEAR CARPENTER RD BRIDGE,48,37.6098,-121.0319,MODESTO,6,8601,999,999,801,23,0,STANISLAUS,TUOLUMNE R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
TCP,TIGER CREEK POWERHOUSE,2360,38.45,-120.483,JACKSON,6,8301,999,999,60,18,0,CALAVERAS,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,2,4,12,14,16,30,31,32,45,,,,,,,,,,,,,,,
TCR,TRACY CARBONA,140,37.7,-121.433,TRACY,6,9301,999,999,40,23,0,SAN JOAQUIN,SAN JOAQUIN FLOOR,National Weather Service,SAN JOAQUIN RIVER,2,,,,,,,,,,,,,,,,,,,,,,,
TDP,TULLOCK POWERHOUSE TAILRACE,360,37.876,-120.605,KNIGHTS FERRY,6,8501,999,999,801,24,0,TUOLUMNE,STANISLAUS R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
TDS,TULLOCH DAM SPILLWAY,475,37.874,-120.602,KNIGHTS FERRY,6,8501,999,999,801,24,0,TUOLUMNE,STANISLAUS R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
TEA,TEAL CLUB AT FRANK HORAN SLOUGH,0,38.1766,-122.0872,FAIRFIELD,5,8101,999,999,705,16,0,SOLANO,DELTA,CA Dept of Water Resources/Div of Environmental Services,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
TGR,TIGER CREEK PH,2360,38.45,-120.483,WEST POINT,6,8301,999,999,60,18,0,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,2,45,,,,,,,,,,,,,,,,,,,,,,
THB,TUOLUMNE RIVER AT HICKMAN BRDG WATERFORD,100,37.63603,-120.75928,WATERFORD,6,8601,999,999,801,24,0,STANISLAUS,TUOLUMNE R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
TID,TURLOCK IRRIGATION DISTRICT OFFICE,100,37.501,-120.854,TURLOCK,6,8601,203,700,203,24,0,STANISLAUS,TUOLUMNE R,Turlock Irrigation District,SAN JOAQUIN RIVER,14,,,,,,,,,,,,,,,,,,,,,,,
TIL,TID CANAL AT LA GRANGE,296,37.672,-120.443,TURLOCK,6,8601,999,999,203,24,0,STANISLAUS,TUOLUMNE R,Turlock Irrigation District,SAN JOAQUIN RIVER,20,,,,,,,,,,,,,,,,,,,,,,,
TLA,TUOLUMNE R BLW LA GRANGE DAM (CAFG),162,37.66942,-120.44377,LA GRANGE,6,8601,999,999,801,24,0,STANISLAUS,TUOLUMNE R,CA Dept of Fish and Wildlife,SAN JOAQUIN RIVER,25,,,,,,,,,,,,,,,,,,,,,,,
TLC,TURLOCK LAKE,244,37.6,-120.583,TURLOCK,6,8601,999,999,203,24,0,STANISLAUS,TUOLUMNE R,Turlock Irrigation District,SAN JOAQUIN RIVER,15,,,,,,,,,,,,,,,,,,,,,,,
TLD,TILDEN PARK,1905,37.8836,-122.2219,BERKELEY,2,2001,999,999,107,21,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
