STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro #,Basin #,Owner,Maintenance,Operator,Map #,Collect #,County Name,Basin Name,Agency Name,Hydro Area,Sensor1,sensor2,sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,,,
DBL,MOUNT DIABLO PEAK,3690,37.88,-121.918,WALNUT CREEK,2,2001,999,999,107,23,0,CONTRA COSTA,EAST BAY,Contra Costa County,SAN FRANCISCO BAY,16,,,,,,,,,,,,,,,,,,,,,,,
DBT,DUTCH BILL CREEK AT WESTMINSTER WOODS,123,38.4504,-123.0004,MONTE RIO,1,1601,999,999,40,0,2,SONOMA,RUSSIAN R,National Weather Service,NORTH COAST,1,,,,,,,,,,,,,,,,,,,,,,,
DCD,DUCK CK DIVERSION,113,37.9383,-120.99,STOCKTON,6,5601,999,999,56,24,0,SAN JOAQUIN,SAN JACINTO R,US Army Corps of Engineers,SAN JOAQUIN RIVER,1,14,110,,,,,,,,,,,,,,,,,,,,,
DCM,DRY CREEK AT MODESTO AT CLAUS ROAD,88,37.657,-120.923,MODESTO,6,8601,999,999,706,24,0,STANISLAUS,TUOLUMNE R,CA Dept of Water Resources/South Central Region Office,SAN JOAQUIN RIVER,1,14,20,41,,,,,,,,,,,,,,,,,,,,
DCO,DEL VALLE CONSERVATION OUTLET WORKS,542,37.6178,-121.7468,LIVERMORE,2,2001,999,999,703,23,0,ALAMEDA,EAST BAY,CA Dept of Water Resources/Operations and Maintenance,SAN FRANCISCO BAY,27,62,100,146,,,,,,,,,,,,,,,,,,,,
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,18,37.815,-121.425,TRACY,6,9001,999,999,704,23,0,SAN JOAQUIN,SAN JOAQUIN R,CA Dept of Water Resources/North Central Region Office,SAN JOAQUIN RIVER,1,5,14,25,27,28,61,62,100,141,,,,,,,,,,,,,,
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,10,38.245,-121.505,WALNUT GROVE,5,6501,999,999,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
DLP,DIAMOND LN PRECIP NR GLENCOE,2140,38.34315,-120.61837,GLENCOE,6,8301,999,999,58,17,2,CALAVERAS,MOKELUMNE R,US Geological Survey,SAN JOAQUIN RIVER,14,16,45,,,,,,,,,,,,,,,,,,,,,
DLV,DEL VALLE,703,37.614,-121.745,LIVERMORE,2,2101,999,999,703,23,0,ALAMEDA,ALAMEDA CR,CA Dept of Water Resources/Operations and Maintenance,SAN FRANCISCO BAY,6,7,15,,,,,,,,,,,,,,,,,,,,,
DMC,DMC HEADWORKS,200,37.781567,-121.590239,TRACY,5,8101,999,999,50,22,0,ALAMEDA,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,,,,,,,,,,,,,,,,,,,,,
DNP,DON PEDRO RESERVOIR,830,37.702,-120.421,LA GRANGE,6,8601,999,999,803,24,0,TUOLUMNE,TUOLUMNE R,USGS/USACE,SAN JOAQUIN RIVER,6,15,22,23,45,74,76,94,110,200,,,,,,,,,,,,,,
DPW,DON PEDRO RESERVOIR WEATHER,830,37.70028,-120.417712,LAGRANGE,6,8601,999,999,203,23,2,TUOLUMNE,TUOLUMNE R,Turlock Irrigation District,SAN JOAQUIN RIVER,2,4,10,12,14,17,26,36,45,77,132,134,258,,,,,,,,,,,
DRO,DELTA RUNOFF ONE DAY CALCULATION,6,38.042,-121.642,BETHEL ISLAND,5,8101,999,999,700,17,0,CONTRA COSTA,DELTA,CA Dept of Water Resources/Flood Management,SACRAMENTO RIVER,155,,,,,,,,,,,,,,,,,,,,,,,
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,10,38.013,-121.671,OAKLEY,6,9001,999,999,58,17,0,CONTRA COSTA,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,1,20,21,25,61,100,221,222,223,224,,,,,,,,,,,,,,
DSN,DRY CREEK NR SNELLING,230,37.555,-120.463,SNELLING,6,8701,60,999,204,24,2,MERCED,MERCED R,Merced Irrigation District,SAN JOAQUIN RIVER,1,14,16,20,,,,,,,,,,,,,,,,,,,,
DTO,DELTA OUTFLOW,0,38.059,-122.025,RIO VISTA,5,8101,999,999,703,15,0,SOLANO,DELTA,CA Dept of Water Resources/Operations and Maintenance,SACRAMENTO RIVER,23,,,,,,,,,,,,,,,,,,,,,,,
DV7,DEL VALLE CHECK 7 (KB001638),500,37.6547,-121.7419,LIVERMORE,2,2001,999,999,703,23,0,ALAMEDA,EAST BAY,CA Dept of Water Resources/Operations and Maintenance,SAN FRANCISCO BAY,25,27,62,100,114,146,,,,,,,,,,,,,,,,,,
DVB,DANVILLE LIBRARY,364,37.8208,-121.9956,DANVILLE,2,2801,999,999,107,23,0,CONTRA COSTA,SF BAY,Contra Costa County,SAN FRANCISCO BAY,2,16,45,,,,,,,,,,,,,,,,,,,,,
DVF,DUCK CK DIVERSION NR FARMINGTON,146,37.945,-120.93,STOCKTON,5,9001,999,999,56,24,0,SAN JOAQUIN,SAN JOAQUIN R,US Army Corps of Engineers,SACRAMENTO RIVER,1,14,,,,,,,,,,,,,,,,,,,,,,
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,0,38.25611,-121.66667,WEST SACRAMENTO,5,6501,999,999,58,17,0,YOLO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,1,20,21,25,100,221,,,,,,,,,,,,,,,,,,
DYR,DYER RESERVOIR,805,37.757824,-121.674913,LIVERMORE,6,8101,999,999,703,22,0,CONTRA COSTA,DELTA,CA Dept of Water Resources/Operations and Maintenance,SAN JOAQUIN RIVER,27,62,100,114,146,,,,,,,,,,,,,,,,,,,
ECD,EAST CONTRA COUNTY ID PP#1,22,37.917863,-121.625999,DISCOVERY BAY,5,8101,999,999,704,23,2,CONTRA COSTA,DELTA,CA Dept of Water Resources/North Central Region Office,SACRAMENTO RIVER,14,100,146,,,,,,,,,,,,,,,,,,,,,
EGN,LAGUNA CR - FLORIN NEAR EAGLES NEST ROAD,100,38.485279,-121.260834,FLORIN,5,6501,999,999,134,0,0,SACRAMENTO,SACRAMENTO R,Sacramento County,SACRAMENTO RIVER,1,2,16,45,,,,,,,,,,,,,,,,,,,,
ELG,ELK GROVE FISH HATCHERY,45,38.421,-121.374,ELK GROVE,6,8201,999,999,134,17,0,SACRAMENTO,COSUMNES R,Sacramento County,SAN JOAQUIN RIVER,2,45,,,,,,,,,,,,,,,,,,,,,,
EMM,EMMATON (USBR),0,38.084272,-121.738924,RIO VISTA,5,8101,999,999,50,16,0,SACRAMENTO,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,14,25,100,102,,,,,,,,,,,,,,,,,,,,
EPH,ELECTRA PH,720,38.333,-120.667,JACKSON,6,8301,999,999,60,18,0,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,2,45,,,,,,,,,,,,,,,,,,,,,,
